id_tarea,llegada,salida,tiempo_ciclo
1,4.388217216479353,39.41621094260503,35.02799372612568
2,16.103215200418305,57.593306685461215,41.49009148504291
3,40.95926815026576,76.68134361079711,35.72207546053136
6,82.7990117485264,116.26411398477912,33.46510223625272
4,76.22436610371034,122.66253081681508,46.43816471310474
5,78.9424908359498,130.24840491546314,51.30591407951334
7,101.14232818551925,144.38017460911726,43.237846423598015
8,107.86794402452296,152.34664790703852,44.47870388251556
9,145.1588879297619,190.53172662681183,45.37283869704993
10,147.67034056466088,193.53172662681183,45.861386062150956
11,150.98791886107418,198.81514005444575,47.82722119337157
12,176.5797996005117,209.4955526410578,32.91575304054609
13,204.22290004554154,235.96130678587588,31.73840674033434
16,224.27840279463226,261.39897736567633,37.120574571044074
15,221.07069048276185,264.7046216602332,43.63393117747137
14,220.81480196627382,269.9475220512695,49.1327200849957
17,236.31077950643527,272.9475220512695,36.63674254483425
18,247.6030955900478,277.3700883179846,29.76699272793681
19,254.41543034944524,304.8587985717207,50.44336822227544
20,283.5601641479652,311.1454448255323,27.585280677567084
21,298.6658256525787,338.385823940965,39.71999828838631
22,311.74916065588576,341.385823940965,29.636663285079237
23,320.5028844160478,365.56598998841406,45.06310557236628
25,343.76045709487585,376.52444431535247,32.76398722047662
24,336.73271736722745,388.32394794365774,51.59123057643029
26,344.6368415566258,392.62539385507154,47.98855229844571
29,362.5477038744331,399.9819393339273,37.434235459494175
27,357.28564955719156,402.9819393339273,45.69628977673574
28,361.24790520411034,405.9819393339273,44.73403412981696
31,386.94538438093633,421.8023234629,34.856939081963674
32,387.1680455720969,429.73872522287337,42.57067965077647
30,383.98701043924706,437.5122551932203,53.525244753973254
33,387.2182393093102,440.5122551932203,53.294015883910106
35,402.59507118343856,445.44229874399906,42.8472275605605
34,400.37969384539844,451.40924336363366,51.02954951823523
36,415.5388242726596,459.8625921339811,44.32376786132147
37,424.34891265298165,470.5313133690056,46.18240071602395
38,439.87664254384026,473.5313133690056,33.65467082516534
39,481.42183941432046,514.2635003222279,32.8416609079074
40,488.10303222009435,522.7730268520817,34.66999463198732
41,496.17653868887555,530.8065964559852,34.63005776710963
42,501.4251786550008,542.8496617000441,41.424483045043246
43,514.2341632395451,558.1558980330832,43.92173479353812
44,517.2988628180461,561.1558980330832,43.85703521503706
45,530.2515436925844,578.7994376366993,48.54789394411489
47,556.947936394165,599.0685109621388,42.12057456797379
48,566.0172281603024,602.0685109621388,36.051282801836464
46,555.3146417685408,605.9968791004534,50.682237331912575
50,572.6124874049342,611.6380250429869,39.0255376380527
51,594.4422115515374,621.9442497764503,27.502038224912894
49,568.4138704681254,624.9442497764503,56.53037930832488
52,599.9662356270962,650.5994087129376,50.63317308584135
54,638.4730147260839,672.965995536375,34.4929808102911
53,631.3660707349565,678.1692165752831,46.80314584032669
57,659.1429780368804,691.7886411996155,32.645663162735104
58,666.0065206743798,701.3942725300326,35.38775185565282
55,651.0582738475498,704.3942725300326,53.335998682482796
59,671.5293629856619,709.5462851784797,38.01692219281779
56,654.5675205198758,716.2301510687132,61.662630548837456
61,690.9348206543273,720.0710508234386,29.136230169111286
60,687.0775817430925,733.9697710001747,46.89218925708212
63,699.5292006382886,736.9697710001747,37.4405703618861
62,696.8102276524492,744.3979438512761,47.58771619882691
65,709.2742401724049,747.3979438512761,38.12370367887115
64,703.1620610533216,750.3979438512761,47.235882797954446
66,709.79655682619,761.5580700724136,51.76151324622356
67,729.3789631105492,764.5580700724136,35.17910696186436
68,732.2374723174211,771.5299659838053,39.29249366638419
69,747.4392611548925,787.1902450163295,39.75098386143702
72,783.6192446370135,818.1639948671321,34.544750230118666
71,782.3405745765994,827.982574374845,45.64199979824559
70,780.363989173493,833.0878576626899,52.72386848919689
73,801.3509847923436,842.3758138222303,41.02482902988663
75,810.5120309362588,851.9576067688012,41.44557583254232
74,810.3163422143947,866.1931972955455,55.87685508115078
76,819.499074398938,869.1931972955455,49.694122896607496
77,844.0935300388285,879.3731302288452,35.27960019001671
78,865.4032326509819,919.0512332935546,53.6480006425727
81,882.769843063781,922.0512332935546,39.28139022977359
79,879.6053214432302,926.1707601103735,46.565438667143326
80,882.4530727215292,929.1707601103735,46.7176873888443
82,889.1634557029683,938.4107094789766,49.24725377600828
83,892.7698989422651,944.4666963826704,51.69679744040536
85,915.1196426860115,947.4666963826704,32.34705369665892
84,904.2009327363509,957.6540144343771,53.45308169802627
86,916.3860664619167,961.0687104113427,44.68264394942605
87,919.4511631518475,966.8237083183726,47.37254516652513
88,923.0017181194752,971.449343544531,48.447625425055776
89,923.3430831409983,974.5688456227175,51.225762481719244
90,934.5631725329035,978.2295318392743,43.66635930637074
91,934.613861187449,986.6089650490719,51.995103861622965
92,935.5839479089616,991.3904976998073,55.80654979084568
93,945.3622473116287,994.3904976998073,49.02825038817855
94,953.8523194831876,999.1054200104444,45.253100527256834
